Fecha De Venta;País;Continente;Producto;Marca;Categoría;Precio Unidad;Costo Unidad;Cantidad Vendida;Facturación;Costo Venta
jueves, 5 de agosto de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 20 de agosto de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 22 de noviembre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 22 de noviembre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 22 de noviembre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 6 de diciembre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 5 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 5 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 9 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 20 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 24 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 28 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 28 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 2 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 19 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 25 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 1 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 1 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 11 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 23 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 28 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 29 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 28 de mayo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 22 de junio de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 13 de julio de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 14 de julio de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 20 de julio de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 26 de julio de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 1 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 1 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 12 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 17 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 19 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 21 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 26 de agosto de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Amarelo;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 8 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 21 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 22 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 23 de junio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 5 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 5 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 5 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 22 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 22 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 24 de julio de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 7 de agosto de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 17 de agosto de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 19 de agosto de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 5 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 12 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 12 de septiembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 8 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 12 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 12 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 12 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 12 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 31 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 31 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 31 de octubre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 1 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 17 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 17 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 17 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 17 de noviembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 15 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 24 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 25 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 26 de diciembre de 2020;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 10 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 17 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 17 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 27 de enero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 6 de febrero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 15 de febrero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 15 de febrero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 22 de febrero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 28 de febrero de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 1 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 23 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 24 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 29 de marzo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 18 de abril de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 1 de mayo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 12 de mayo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 15 de mayo de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 19 de junio de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 4 de julio de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 3 de agosto de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 28 de agosto de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 10 de septiembre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 2 de octubre de 2021;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 3 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 3 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 4 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 6 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 6 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 6 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 7 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 12 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 21 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 23 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 24 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 27 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 27 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 31 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 31 de enero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 3 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 6 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 8 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 10 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 10 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 11 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 12 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 14 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 15 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 19 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 25 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 26 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de febrero de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 2 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
viernes, 4 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 6 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 6 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 7 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 7 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 7 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 7 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 7 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
miércoles, 9 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 10 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 19 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
sábado, 19 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 28 de marzo de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 5 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Vermelho;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
domingo, 10 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 18 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Preto;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 18 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
lunes, 18 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
martes, 19 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
jueves, 21 de abril de 2022;Estados Unidos;América del Norte;Juego Mesa for students E40 Prata;Philips;Juegos de mesa;6,99;$3,56;1;$6,99;$3,56
